threshold,threshold_key,fdp_coffee_2020_ha,fdp_coffee_2024_ha,fdp_new_coffee_2020_2024_ha,jrc2020_and_fdp_coffee_2024_ha,jrc2020_and_fdp_new_coffee_ha,fdp_new_coffee_area_ratio_vs_t0025,jrc2020_and_fdp_coffee_2024_area_ratio_vs_t0025,jrc2020_and_fdp_new_coffee_area_ratio_vs_t0025
0.025,t0025,256.99,358.74,225.29,35.68,17.25,1.0,1.0,1.0
0.05,t0050,234.0,307.8,198.95,25.19,14.66,0.883084,0.705998,0.849855
0.1,t0100,209.85,245.38,162.01,15.81,11.06,0.719118,0.443105,0.641159
0.2,t0200,183.09,179.28,117.71,9.04,6.97,0.522482,0.253363,0.404058
0.25,t0250,173.33,158.6,104.32,7.23,5.67,0.463048,0.202635,0.328696
